ID,Name,Age,Date_of_Birth,Email,Salary,Join_Date,Department,Phone,Address,Gender,Marital_Status,Notes,Random_String,Flag,Temp_Code
152,Michael Lee,,1974/12/24,michael.lee@company.org,52502.0,31/05/2024,Engineering,314-355-2110,"2636 Maple St., Rivertown",Female,Divorced,,xyJYgPuFVv,1,52336
153,Susan King,22.0,08/04/1983,susan.king@mail.com,74282.0,10-14-2021,Finance,+1-837-101-1788,"9879 Maple St., Fairview",Male,Single,Needs improvement,s8mN8e0nqsJXM7,no,63330
154,Linda Johnson,29.0,1985.06.11,linda.johnson@company.org,78671.0,23/05/2023,Marketing,(529) 270-7783,"5034 Cedar Blvd., Fairview",Male,Divorced,,fueXDnXOsXAHmy,1,99151
155,Robert Brown,51.0,1978/12/29,robert.brown@company.org,118094.0,2020-07-21,IT,459-659-7149,"1294 Pine Rd., Fairview",Male,Widowed,,FPH2MGlEOZ6qNY,no,74955
156,Anna-Marie,,1998-08-06,annamarie@company.org,61566.0,2023/08/12,Sales,907-984-4695,"3112 Elm St., Springfield",Male,Divorced,On probation,5TdmCoUV0z1,0,15697
157,Linda Johnson,,1983-08-25,linda.johnson@company.org,113242.0,11-10-2022,Finance,+1-918-966-1547,"2711 Cedar Blvd., Fairview",,Widowed,Promoted last year,N0qrjQ,yes,39431
158,John Doe,,2001/08/06,john.doe@email.com,49046.0,2020/03/19,Sales,367-207-2215,"1606 Pine Rd., Rivertown",Female,Single,Promoted last year,zhlpZCIB,,
159,Michael Lee,30.0,1986/06/22,michael.lee@mail.com,110687.0,09-14-2024,Sales,264-849-2228,"5537 Pine Rd., Lakeside",Other,Single,,4mqbWrINcSWd3ts,no,79784
160,Robert Brown,,1993-08-22,robert.brown@mail.com,95591.0,2022/06/20,Support,+1-446-708-8909,"8791 Cedar Blvd., Fairview",,Single,Promoted last year,3zwOf6,,10676
161,Linda Johnson,,1971-02-09,linda.johnson,42050.0,07/02/2024,Sales,769-268-8113,"244 Maple St., Lakeside",Other,Married,Promoted last year,oJFhPJW,,53870
162,Jane Smith,,2001/08/24,jane.smith@company.org,47398.0,08-31-2024,Marketing,+1-439-310-4112,"4094 Maple St., Lakeside",Male,Single,On probation,p2ohYuKyUoAik,,
163,Emily Clark,60.0,1997.03.15,emily.clark@mail.com,117550.0,08/07/2020,Finance,(839) 847-9849,"1957 Cedar Blvd., Lakeside",Female,Married,,BpKEx6tAQ,no,13325
164,Chris O'Neil,25.0,1973/07/07,chris.oneil@mail.com,79306.0,05/05/2023,Support,404-343-2571,"4733 Maple St., Fairview",,Unknown,On probation,26wSYb7L0,yes,39573
165,David Taylor,36.0,1997/02/25,david.taylor@company.org,109467.0,2024/09/12,Marketing,,"6243 Elm St., Fairview",Other,Widowed,,Xd4PpxNR3QHoBa7,,65550
166,Michael Lee,27.0,1999.06.26,michael.lee@email.com,,2023-05-03,Support,257-155-6911,"818 Pine Rd., Rivertown",Other,Widowed,Promoted last year,s6Us1jBtY,no,42765
167,Jane Smith,,09/10/1988,jane.smith@email.com,55376.0,2021/04/06,Marketing,,"1449 Maple St., Rivertown",,Widowed,,zc1Z6Dz0S2YZRFv,no,
168,Emily Clark,,1990/12/07,emily.clark@company.org,107215.0,2020/07/02,Engineering,,"8914 Elm St., Springfield",Other,Single,Needs improvement,THuRVNlBNamsJg,no,18237
169,Jane Smith,52.0,01/01/1987,jane.smith@company.org,42125.0,2023/12/27,HR,(714) 591-4271,"3553 Oak Ave., Hillview",Other,Married,,G8ZV0QXt,no,22678
170,Robert Brown,36.0,1992/08/09,robert.brown@company.org,104044.0,2021/05/24,Engineering,,"3468 Elm St., Hillview",,Widowed,,2ikKurfwyxZJ,no,
171,Robert Brown,,1979/02/11,robert.brown@company.org,108674.0,2025-04-05,Support,(398) 183-8758,"1281 Oak Ave., Springfield",Female,Widowed,Needs improvement,65OM4,1,13148
172,John Doe,,1993-04-01,john.doe@email.com,47923.0,2021/12/26,Finance,903-507-8715,"5534 Maple St., Springfield",,Divorced,On probation,mRkyAqfw6hSA,1,92090
173,anna-marie,56.0,,annamarie@mail.com,105826.0,2020/11/21,Support,(371) 193-9914,,,Single,,ZEnm6YqUxAmn,,42821
174,Robert Brown,,1975.10.30,robert.brown@mail.com,88896.0,2020/01/27,Engineering,490-478-4056,"4227 Elm St., Springfield",Female,Married,,TllXb8oBp,1,72072
175,Emily Clark,36.0,2000-01-06,emily.clarkmail,41238.0,05/07/2021,Sales,550-576-5315,"3829 Pine Rd., Hillview",Other,Widowed,Promoted last year,QCaiuQQSRTpfdu,no,54669
176,Anna-Marie,,20-09-2001,annamarie@company.org,46102.0,2020-04-08,Finance,677-163-3476,"6726 Cedar Blvd., Lakeside",,Single,Promoted last year,DvLPXRYa,no,53724
177,Michael Lee,,1989-07-10,michael.lee@company.org,92205.0,2020-03-29,HR,(199) 187-6632,,Other,Single,On probation,Msyw8IJqF52it,1,41030
178,Robert Brown,58.0,05/20/1979,robert.brown@company.org,50279.0,08-23-2022,Sales,874-703-4727,"8862 Maple St., Fairview",Other,Married,On probation,Aqt8E8rwA3qZ5,,88638
179,Jane Smith,26.0,1976.02.04,jane.smith@mail.com,,2023/12/02,Engineering,938-635-7858,,Other,Divorced,On probation,t3t9Vj0OXdjoc,,22539
180,Linda Johnson,46.0,1977/05/08,linda.johnson,49634.0,12-27-2024,Marketing,(987) 586-4860,"845 Maple St., Lakeside",,Married,Great employee,kCh3EB9IC,0,85882
181,Chris O'Neil,31.0,1998-11-07,chris.oneilmail,53399.0,2024-09-15,Marketing,+1-504-974-1568,"1838 Pine Rd., Lakeside",Female,Single,,01hf1l,1,
182,Chris O'Neil,57.0,08/11/1999,chris.oneil@company.org,90493.0,05-19-2025,Engineering,(919) 685-3415,"4712 Cedar Blvd., Hillview",Male,Single,Great employee,UYIPn9a,no,14370
183,Chris O'Neil,,1996/01/09,chris.oneil@mail.com,48292.0,2024/07/06,HR,277-271-4471,"604 Cedar Blvd., Rivertown",Female,Divorced,Promoted last year,l5pEfur8hx5gub,no,18523
184,Chris O'Neil,26.0,1992/07/26,chris.oneil@email.com,40887.0,2020/02/17,HR,+1-143-533-2283,"2334 Cedar Blvd., Fairview",,Single,,ZOC7Ka8O6uTT,0,18126
185,Emily Clark,43.0,1974.06.05,emily.clark@mail.com,102784.0,09/09/2023,Engineering,306-942-3422,"2460 Pine Rd., Lakeside",Female,Married,Great employee,i1XrXUHLfpoVyb,1,67923
186,Susan King,,1991/01/21,susan.king@company.org,63583.0,2021-08-17,Finance,427-844-2097,"282 Elm St., Fairview",Male,Married,,kWrUOhEA,,
187,Anna-Marie,35.0,1972-07-20,annamarie@mail.com,79692.0,02-04-2024,Finance,,"784 Maple St., Fairview",Female,Divorced,Needs improvement,4LwfwmByq,yes,66602
188,Robert Brown,,1976/10/22,robert.brown@company.org,94827.0,2022-05-27,Support,(433) 977-5525,"8900 Elm St., Springfield",,Unknown,Promoted last year,AUYMAAcvCnQjEN,0,
189,Susan King,,06/29/1992,susan.king@company.org,,2021/10/31,Support,+1-905-817-9561,"5733 Oak Ave., Hillview",Other,Single,Great employee,fDeXs9QspAJI4,,83303
190,Susan King,,,susan.king@company.org,115397.0,2024/03/18,HR,+1-524-253-3428,"8497 Oak Ave., Rivertown",Male,Married,Promoted last year,gAfOJppfFhPll,no,
191,Chris O'Neil,,2002/07/12,chris.oneil@mail.com,58569.0,07-01-2023,HR,(876) 202-2730,"4240 Oak Ave., Springfield",Female,Unknown,Needs improvement,czRtSUBYv4Y,0,62649
192,Anna-Marie,55.0,1999/04/02,annamarie@mail.com,55084.0,04-28-2025,Finance,+1-904-392-9775,"9394 Maple St., Fairview",,Unknown,Needs improvement,lUL2gHah,0,
193,Jane Smith,,15-11-1978,jane.smith@mail.com,93090.0,02/12/2021,Marketing,370-492-8955,"9105 Maple St., Lakeside",Male,Widowed,Promoted last year,OCzOUTs,yes,40554
194,Chris O'Neil,34.0,1986-03-10,chris.oneil@email.com,48200.0,2022-03-19,Support,138-276-5512,"4207 Maple St., Rivertown",Male,Married,Great employee,wPQyshaga81mOO,,96471
195,David Taylor,,1991/11/11,david.taylor@company.org,91451.0,2022-02-27,HR,(723) 797-7581,"8082 Pine Rd., Lakeside",Female,Single,,01HfVjAh3TB,yes,69429
196,Susan King,33.0,1977-02-26,susan.king@mail.com,63992.0,11/05/2023,IT,,"3942 Maple St., Lakeside",,Widowed,Promoted last year,D1KmJZdaNS80,0,66112
197,Chris O'Neil,30.0,1981.10.19,chris.oneil@company.org,61871.0,09-15-2022,Marketing,807-343-1807,"3270 Pine Rd., Hillview",,Divorced,,KIsEEKLQYESGAt,,91163
198,Robert Brown,,2003/03/14,robert.brown@mail.com,104876.0,2023/02/27,Engineering,481-120-6535,"5108 Elm St., Rivertown",Male,Single,,qO3hMO,1,
199,Anna-Marie,,09/26/1993,annamarieemail,99942.0,2022/04/12,IT,418-387-9054,"6071 Pine Rd., Hillview",Male,Married,,Rbrlvon4vL0O,0,98575
200,David Taylor,29.0,1987.03.05,david.taylor@email.com,68644.0,2023-01-25,Finance,(200) 989-4734,"5231 Oak Ave., Rivertown",Other,Single,,2Syz6Ow,yes,69516
167,Jane Smith,,09/10/1988,jane.smith@email.com,55376.0,2021/04/06,Marketing,(553) 892-6257,"7245 Pine Rd., Lakeside",Female,Married,,X0MrUPimLgz9,yes,87045
151,David Taylor,30.0,07/30/1998,david.taylor@mail.com,41846.0,04-27-2021,Support,719-761-2462,"5532 Cedar Blvd., Hillview",Other,Divorced,Needs improvement,oI9wqPk1F,yes,
60,Robert Brown,50.0,1977/05/16,robert.brown@mail.com,93523.0,08-01-2023,Finance,+1-943-516-8937,"5104 Cedar Blvd., Fairview",Male,Widowed,Great employee,uhoIE9,yes,
200,David Taylor,29.0,1987.03.05,david.taylor@email.com,68644.0,2023-01-25,Finance,940-157-9442,"1443 Pine Rd., Rivertown",Male,Single,Great employee,VVI302Lgd6,yes,18853
90,Jane Smith,28.0,1978-09-03,jane.smith@company.org,93845.0,2023/06/20,Support,+1-418-826-9303,"3318 Pine Rd., Springfield",,Divorced,On probation,7U8WL1gIFkhm,no,35377
